user_id,total_interactions,negative_ratings,positive_ratings,negative_ratio,is_suspicious
3369,5,3,0,0.6,True
1292,7,4,2,0.5714285714285714,True
2257,5,2,2,0.4,True
7568,6,2,1,0.3333333333333333,True
7558,6,2,1,0.3333333333333333,True
7388,6,2,2,0.3333333333333333,True
430,6,2,1,0.3333333333333333,True
7520,6,2,1,0.3333333333333333,True
7571,6,2,0,0.3333333333333333,True
7560,10,3,1,0.3,False
7580,15,4,1,0.26666666666666666,False
7583,8,2,0,0.25,False
796,9,2,6,0.2222222222222222,False
1856,5,1,4,0.2,False
1826,5,1,4,0.2,False
1502,5,1,3,0.2,False
7589,15,3,4,0.2,False
7569,5,1,1,0.2,False
7415,15,3,5,0.2,False
1346,5,1,3,0.2,False
1794,5,1,4,0.2,False
1883,5,1,4,0.2,False
7387,5,1,3,0.2,False
686,10,2,5,0.2,False
1762,5,1,4,0.2,False
902,5,1,2,0.2,False
681,11,2,6,0.18181818181818182,False
302,11,2,3,0.18181818181818182,False
1322,11,2,7,0.18181818181818182,False
7328,11,2,3,0.18181818181818182,False
879,6,1,2,0.16666666666666666,False
7578,6,1,1,0.16666666666666666,False
1179,6,1,3,0.16666666666666666,False
780,6,1,3,0.16666666666666666,False
1104,6,1,4,0.16666666666666666,False
665,6,1,1,0.16666666666666666,False
7518,6,1,2,0.16666666666666666,False
1472,6,1,5,0.16666666666666666,False
7410,6,1,3,0.16666666666666666,False
1517,6,1,5,0.16666666666666666,False
7576,6,1,0,0.16666666666666666,False
555,6,1,2,0.16666666666666666,False
1195,7,1,5,0.14285714285714285,False
469,14,2,3,0.14285714285714285,False
969,7,1,3,0.14285714285714285,False
840,7,1,4,0.14285714285714285,False
7582,7,1,1,0.14285714285714285,False
1068,7,1,5,0.14285714285714285,False
1176,7,1,5,0.14285714285714285,False
7513,7,1,1,0.14285714285714285,False
812,7,1,2,0.14285714285714285,False
176,28,4,4,0.14285714285714285,False
7335,7,1,1,0.14285714285714285,False
400,7,1,1,0.14285714285714285,False
708,7,1,3,0.14285714285714285,False
798,81,11,37,0.13580246913580246,False
214,23,3,12,0.13043478260869565,False
890,8,1,5,0.125,False
7509,8,1,2,0.125,False
883,8,1,6,0.125,False
826,8,1,4,0.125,False
696,8,1,2,0.125,False
506,8,1,5,0.125,False
1162,8,1,7,0.125,False
7398,8,1,5,0.125,False
4934,8,1,6,0.125,False
949,8,1,6,0.125,False
1032,8,1,6,0.125,False
1043,9,1,8,0.1111111111111111,False
517,9,1,3,0.1111111111111111,False
381,9,1,2,0.1111111111111111,False
7400,9,1,1,0.1111111111111111,False
7512,18,2,10,0.1111111111111111,False
7596,9,1,0,0.1111111111111111,False
3516,9,1,4,0.1111111111111111,False
7514,9,1,3,0.1111111111111111,False
427,9,1,6,0.1111111111111111,False
775,9,1,6,0.1111111111111111,False
7595,47,5,16,0.10638297872340426,False
617,10,1,7,0.1,False
492,10,1,5,0.1,False
702,10,1,7,0.1,False
752,10,1,6,0.1,False
815,10,1,8,0.1,False
885,10,1,8,0.1,False
602,10,1,5,0.1,False
7562,10,1,1,0.1,False
204,20,2,11,0.1,False
591,10,1,5,0.1,False
592,10,1,6,0.1,False
457,10,1,3,0.1,False
762,10,1,7,0.1,False
766,10,1,6,0.1,False
1249,10,1,3,0.1,False
7579,10,1,1,0.1,False
632,11,1,7,0.09090909090909091,False
703,11,1,7,0.09090909090909091,False
372,11,1,7,0.09090909090909091,False
707,11,1,8,0.09090909090909091,False
147,11,1,0,0.09090909090909091,False
593,11,1,7,0.09090909090909091,False
443,11,1,6,0.09090909090909091,False
639,11,1,6,0.09090909090909091,False
358,12,1,5,0.08333333333333333,False
599,12,1,8,0.08333333333333333,False
597,12,1,7,0.08333333333333333,False
317,12,1,4,0.08333333333333333,False
588,12,1,7,0.08333333333333333,False
824,12,1,11,0.08333333333333333,False
374,12,1,3,0.08333333333333333,False
7552,49,4,14,0.08163265306122448,False
7577,13,1,2,0.07692307692307693,False
7525,13,1,6,0.07692307692307693,False
265,13,1,8,0.07692307692307693,False
547,13,1,10,0.07692307692307693,False
739,13,1,12,0.07692307692307693,False
327,13,1,8,0.07692307692307693,False
7603,93,7,29,0.07526881720430108,False
113,40,3,10,0.075,False
649,14,1,12,0.07142857142857142,False
124,56,4,24,0.07142857142857142,False
145,84,6,28,0.07142857142857142,False
754,14,1,6,0.07142857142857142,False
650,14,1,12,0.07142857142857142,False
401,14,1,10,0.07142857142857142,False
585,14,1,11,0.07142857142857142,False
409,14,1,9,0.07142857142857142,False
941,14,1,11,0.07142857142857142,False
519,15,1,11,0.06666666666666667,False
231,15,1,9,0.06666666666666667,False
268,15,1,8,0.06666666666666667,False
248,15,1,9,0.06666666666666667,False
452,15,1,10,0.06666666666666667,False
337,15,1,6,0.06666666666666667,False
7565,46,3,12,0.06521739130434782,False
331,16,1,10,0.0625,False
304,16,1,7,0.0625,False
