config_name,alpha,beta,gamma,seed,early_detection,cold_start,status
evolution_only,1.0,0.0,0.0,42,0.2,0.3,success
evolution_only,1.0,0.0,0.0,123,0.1,0.7,success
evolution_only,1.0,0.0,0.0,456,0.2,0.3,success
evolution_only,1.0,0.0,0.0,789,0.1,0.0,success
evolution_only,1.0,0.0,0.0,321,0.2,0.0,success
strong_evolution,0.7,0.2,0.1,42,0.2,0.3,success
strong_evolution,0.7,0.2,0.1,123,0.1,0.6,success
strong_evolution,0.7,0.2,0.1,456,0.2,0.3,success
strong_evolution,0.7,0.2,0.1,789,0.1,0.0,success
strong_evolution,0.7,0.2,0.1,321,0.2,0.0,success
evolution_memory,0.5,0.5,0.0,42,0.2,0.2,success
evolution_memory,0.5,0.5,0.0,123,0.3,0.7,success
evolution_memory,0.5,0.5,0.0,456,0.2,0.2,success
evolution_memory,0.5,0.5,0.0,789,0.3,0.0,success
evolution_memory,0.5,0.5,0.0,321,0.2,0.0,success
evolution_emphasis,0.6,0.3,0.1,42,0.2,0.2,success
evolution_emphasis,0.6,0.3,0.1,123,0.1,0.7,success
evolution_emphasis,0.6,0.3,0.1,456,0.2,0.2,success
evolution_emphasis,0.6,0.3,0.1,789,0.2,0.0,success
evolution_emphasis,0.6,0.3,0.1,321,0.2,0.0,success
memory_only,0.0,1.0,0.0,42,0.7,0.0,success
memory_only,0.0,1.0,0.0,123,0.1,0.0,success
memory_only,0.0,1.0,0.0,456,0.1,0.0,success
memory_only,0.0,1.0,0.0,789,0.2,0.3,success
memory_only,0.0,1.0,0.0,321,0.2,0.0,success
equal_weights,0.33,0.33,0.33,42,0.3,0.5,success
equal_weights,0.33,0.33,0.33,123,0.1,0.6,success
equal_weights,0.33,0.33,0.33,456,0.2,0.1,success
equal_weights,0.33,0.33,0.33,789,0.7,0.1,success
equal_weights,0.33,0.33,0.33,321,0.2,0.0,success
evolution_prediction,0.5,0.0,0.5,42,0.3,0.6,success
evolution_prediction,0.5,0.0,0.5,123,0.1,0.7,success
evolution_prediction,0.5,0.0,0.5,456,0.2,0.2,success
evolution_prediction,0.5,0.0,0.5,789,0.7,0.2,success
evolution_prediction,0.5,0.0,0.5,321,0.2,0.1,success
prediction_only,0.0,0.0,1.0,42,0.1,0.5,success
prediction_only,0.0,0.0,1.0,123,0.0,0.2,success
prediction_only,0.0,0.0,1.0,456,0.0,0.0,success
prediction_only,0.0,0.0,1.0,789,0.7,0.7,success
prediction_only,0.0,0.0,1.0,321,0.6,0.0,success
