source,target,rating,timestamp,datetime,source_idx,target_idx,month
10,271,8,1289192400,2010-11-08 05:00:00,9,270,2010-11
10,970,8,1289192400,2010-11-08 05:00:00,9,969,2010-11
113,54,4,1289192400,2010-11-08 05:00:00,112,53,2010-11
2,402,1,1289192400,2010-11-08 05:00:00,1,401,2010-11
119,471,9,1289365200,2010-11-10 05:00:00,118,470,2010-11
119,271,8,1289365200,2010-11-10 05:00:00,118,270,2010-11
54,119,5,1289365200,2010-11-10 05:00:00,53,118,2010-11
119,54,5,1289365200,2010-11-10 05:00:00,118,53,2010-11
119,2,8,1289365200,2010-11-10 05:00:00,118,1,2010-11
168,74,1,1289451600,2010-11-11 05:00:00,167,73,2010-11
271,119,8,1289538000,2010-11-12 05:00:00,270,118,2010-11
271,471,1,1289538000,2010-11-12 05:00:00,270,470,2010-11
271,2,8,1289538000,2010-11-12 05:00:00,270,1,2010-11
271,113,7,1289538000,2010-11-12 05:00:00,270,112,2010-11
271,54,7,1289538000,2010-11-12 05:00:00,270,53,2010-11
37,474,1,1289624400,2010-11-13 05:00:00,36,473,2010-11
474,37,1,1289624400,2010-11-13 05:00:00,473,36,2010-11
113,37,2,1289710800,2010-11-14 05:00:00,112,36,2010-11
54,37,5,1289710800,2010-11-14 05:00:00,53,36,2010-11
37,113,5,1289710800,2010-11-14 05:00:00,36,112,2010-11
10,168,2,1289797200,2010-11-15 05:00:00,9,167,2010-11
168,439,1,1289797200,2010-11-15 05:00:00,167,438,2010-11
168,10,2,1289797200,2010-11-15 05:00:00,167,9,2010-11
99,10,2,1290056400,2010-11-18 05:00:00,98,9,2010-11
10,99,2,1290056400,2010-11-18 05:00:00,9,98,2010-11
1632,37,2,1290142800,2010-11-19 05:00:00,1631,36,2010-11
37,1632,1,1290142800,2010-11-19 05:00:00,36,1631,2010-11
1127,113,1,1290229200,2010-11-20 05:00:00,1126,112,2010-11
10,2,8,1290488400,2010-11-23 05:00:00,9,1,2010-11
1127,2,1,1290661200,2010-11-25 05:00:00,1126,1,2010-11
2,1127,1,1290661200,2010-11-25 05:00:00,1,1126,2010-11
113,4,5,1290747600,2010-11-26 05:00:00,112,3,2010-11
4,113,3,1290747600,2010-11-26 05:00:00,3,112,2010-11
2,168,9,1290920400,2010-11-28 05:00:00,1,167,2010-11
1,113,2,1291006800,2010-11-29 05:00:00,0,112,2010-11
2,1632,2,1291006800,2010-11-29 05:00:00,1,1631,2010-11
2,10,3,1291006800,2010-11-29 05:00:00,1,9,2010-11
1632,2,3,1291006800,2010-11-29 05:00:00,1631,1,2010-11
505,121,1,1291093200,2010-11-30 05:00:00,504,120,2010-11
121,505,1,1291093200,2010-11-30 05:00:00,120,504,2010-11
1,2,1,1291093200,2010-11-30 05:00:00,0,1,2010-11
168,2,9,1291179600,2010-12-01 05:00:00,167,1,2010-12
471,2,3,1291266000,2010-12-02 05:00:00,470,1,2010-12
4,99,2,1291352400,2010-12-03 05:00:00,3,98,2010-12
7424,505,1,1291438800,2010-12-04 05:00:00,3602,504,2010-12
505,7424,1,1291438800,2010-12-04 05:00:00,504,3602,2010-12
91,7424,1,1291525200,2010-12-05 05:00:00,90,3602,2010-12
91,297,1,1291525200,2010-12-05 05:00:00,90,296,2010-12
91,4,3,1291525200,2010-12-05 05:00:00,90,3,2010-12
7424,91,1,1291525200,2010-12-05 05:00:00,3602,90,2010-12
74,312,1,1291611600,2010-12-06 05:00:00,73,311,2010-12
74,168,1,1291611600,2010-12-06 05:00:00,73,167,2010-12
4,10,1,1291698000,2010-12-07 05:00:00,3,9,2010-12
10,4,1,1291698000,2010-12-07 05:00:00,9,3,2010-12
297,91,2,1292043600,2010-12-11 05:00:00,296,90,2010-12
2473,99,1,1292043600,2010-12-11 05:00:00,2472,98,2010-12
238,99,1,1292043600,2010-12-11 05:00:00,237,98,2010-12
99,238,1,1292043600,2010-12-11 05:00:00,98,237,2010-12
99,2473,1,1292043600,2010-12-11 05:00:00,98,2472,2010-12
40,121,2,1292130000,2010-12-12 05:00:00,39,120,2010-12
121,40,2,1292130000,2010-12-12 05:00:00,120,39,2010-12
119,121,2,1292216400,2010-12-13 05:00:00,118,120,2010-12
121,119,2,1292216400,2010-12-13 05:00:00,120,118,2010-12
121,4,4,1292302800,2010-12-14 05:00:00,120,3,2010-12
4,121,3,1292302800,2010-12-14 05:00:00,3,120,2010-12
99,4,2,1292648400,2010-12-18 05:00:00,98,3,2010-12
119,91,2,1292734800,2010-12-19 05:00:00,118,90,2010-12
91,119,2,1292734800,2010-12-19 05:00:00,90,118,2010-12
37,31,5,1292734800,2010-12-19 05:00:00,36,30,2010-12
7400,54,2,1292821200,2010-12-20 05:00:00,3578,53,2010-12
37,7400,2,1292821200,2010-12-20 05:00:00,36,3578,2010-12
7400,37,3,1292821200,2010-12-20 05:00:00,3578,36,2010-12
2,710,2,1292907600,2010-12-21 05:00:00,1,709,2010-12
710,2,2,1292907600,2010-12-21 05:00:00,709,1,2010-12
119,4,5,1293166800,2010-12-24 05:00:00,118,3,2010-12
4,439,2,1293426000,2010-12-27 05:00:00,3,438,2010-12
439,4,1,1293426000,2010-12-27 05:00:00,438,3,2010-12
625,91,2,1293426000,2010-12-27 05:00:00,624,90,2010-12
625,1,2,1293426000,2010-12-27 05:00:00,624,0,2010-12
91,625,2,1293426000,2010-12-27 05:00:00,90,624,2010-12
1,625,1,1293426000,2010-12-27 05:00:00,0,624,2010-12
1,744,1,1293426000,2010-12-27 05:00:00,0,743,2010-12
40,1401,1,1293512400,2010-12-28 05:00:00,39,1400,2010-12
37,380,4,1293512400,2010-12-28 05:00:00,36,379,2010-12
74,1127,1,1293598800,2010-12-29 05:00:00,73,1126,2010-12
4,312,5,1293598800,2010-12-29 05:00:00,3,311,2010-12
1209,4,1,1293598800,2010-12-29 05:00:00,1208,3,2010-12
1127,74,1,1293598800,2010-12-29 05:00:00,1126,73,2010-12
7400,293,4,1293598800,2010-12-29 05:00:00,3578,292,2010-12
917,45,1,1293598800,2010-12-29 05:00:00,916,44,2010-12
4,1209,1,1293598800,2010-12-29 05:00:00,3,1208,2010-12
512,2,1,1293685200,2010-12-30 05:00:00,511,1,2010-12
2,512,1,1293685200,2010-12-30 05:00:00,1,511,2010-12
31,37,2,1293771600,2010-12-31 05:00:00,30,36,2010-12
23,40,1,1293771600,2010-12-31 05:00:00,22,39,2010-12
512,23,1,1293771600,2010-12-31 05:00:00,511,22,2010-12
40,23,1,1293771600,2010-12-31 05:00:00,39,22,2010-12
23,512,1,1293771600,2010-12-31 05:00:00,22,511,2010-12
45,917,1,1293858000,2011-01-01 05:00:00,44,916,2011-01
74,625,1,1293858000,2011-01-01 05:00:00,73,624,2011-01
625,74,1,1293858000,2011-01-01 05:00:00,624,73,2011-01
2,917,2,1294030800,2011-01-03 05:00:00,1,916,2011-01
37,40,1,1294030800,2011-01-03 05:00:00,36,39,2011-01
917,2,2,1294030800,2011-01-03 05:00:00,916,1,2011-01
40,37,1,1294030800,2011-01-03 05:00:00,39,36,2011-01
625,439,3,1294117200,2011-01-04 05:00:00,624,438,2011-01
45,251,1,1294117200,2011-01-04 05:00:00,44,250,2011-01
439,625,3,1294117200,2011-01-04 05:00:00,438,624,2011-01
44,40,1,1294203600,2011-01-05 05:00:00,43,39,2011-01
2891,40,1,1294203600,2011-01-05 05:00:00,2890,39,2011-01
40,2891,1,1294203600,2011-01-05 05:00:00,39,2890,2011-01
40,44,1,1294203600,2011-01-05 05:00:00,39,43,2011-01
7552,625,1,1294203600,2011-01-05 05:00:00,3730,624,2011-01
625,7552,1,1294203600,2011-01-05 05:00:00,624,3730,2011-01
744,712,1,1294549200,2011-01-09 05:00:00,743,711,2011-01
712,744,3,1294549200,2011-01-09 05:00:00,711,743,2011-01
744,40,1,1294549200,2011-01-09 05:00:00,743,39,2011-01
40,744,1,1294549200,2011-01-09 05:00:00,39,743,2011-01
744,1,1,1294549200,2011-01-09 05:00:00,743,0,2011-01
91,168,3,1294635600,2011-01-10 05:00:00,90,167,2011-01
168,91,1,1294635600,2011-01-10 05:00:00,167,90,2011-01
744,249,1,1294722000,2011-01-11 05:00:00,743,248,2011-01
249,744,3,1294808400,2011-01-12 05:00:00,248,743,2011-01
1115,402,2,1294894800,2011-01-13 05:00:00,1114,401,2011-01
625,1469,4,1294894800,2011-01-13 05:00:00,624,1468,2011-01
501,4,3,1294894800,2011-01-13 05:00:00,500,3,2011-01
402,1115,2,1294894800,2011-01-13 05:00:00,401,1114,2011-01
1469,625,1,1294894800,2011-01-13 05:00:00,1468,624,2011-01
402,744,1,1294981200,2011-01-14 05:00:00,401,743,2011-01
744,402,1,1294981200,2011-01-14 05:00:00,743,401,2011-01
436,2,1,1295154000,2011-01-16 05:00:00,435,1,2011-01
768,436,1,1295154000,2011-01-16 05:00:00,767,435,2011-01
2,436,1,1295154000,2011-01-16 05:00:00,1,435,2011-01
768,23,2,1295326800,2011-01-18 05:00:00,767,22,2011-01
37,91,1,1295413200,2011-01-19 05:00:00,36,90,2011-01
40,989,1,1295413200,2011-01-19 05:00:00,39,988,2011-01
91,37,1,1295413200,2011-01-19 05:00:00,90,36,2011-01
380,37,4,1295499600,2011-01-20 05:00:00,379,36,2011-01
1087,23,1,1295586000,2011-01-21 05:00:00,1086,22,2011-01
23,1087,1,1295586000,2011-01-21 05:00:00,22,1086,2011-01
917,1115,1,1295672400,2011-01-22 05:00:00,916,1114,2011-01
1115,917,1,1295672400,2011-01-22 05:00:00,1114,916,2011-01
532,4,1,1295845200,2011-01-24 05:00:00,531,3,2011-01
4,532,1,1295845200,2011-01-24 05:00:00,3,531,2011-01
40,917,1,1295931600,2011-01-25 05:00:00,39,916,2011-01
917,40,1,1295931600,2011-01-25 05:00:00,916,39,2011-01
40,379,1,1295931600,2011-01-25 05:00:00,39,378,2011-01
446,4,1,1296018000,2011-01-26 05:00:00,445,3,2011-01
4,446,1,1296018000,2011-01-26 05:00:00,3,445,2011-01
45,389,2,1296018000,2011-01-26 05:00:00,44,388,2011-01
389,45,2,1296018000,2011-01-26 05:00:00,388,44,2011-01
74,4,5,1296018000,2011-01-26 05:00:00,73,3,2011-01
389,293,1,1296104400,2011-01-27 05:00:00,388,292,2011-01
389,23,4,1296104400,2011-01-27 05:00:00,388,22,2011-01
389,126,2,1296104400,2011-01-27 05:00:00,388,125,2011-01
23,389,4,1296104400,2011-01-27 05:00:00,22,388,2011-01
532,91,1,1296190800,2011-01-28 05:00:00,531,90,2011-01
91,532,1,1296190800,2011-01-28 05:00:00,90,531,2011-01
91,769,1,1296277200,2011-01-29 05:00:00,90,768,2011-01
769,91,1,1296277200,2011-01-29 05:00:00,768,90,2011-01
113,1127,1,1296277200,2011-01-29 05:00:00,112,1126,2011-01
113,769,2,1296277200,2011-01-29 05:00:00,112,768,2011-01
4,768,2,1296450000,2011-01-31 05:00:00,3,767,2011-01
768,4,4,1296450000,2011-01-31 05:00:00,767,3,2011-01
768,2,3,1296450000,2011-01-31 05:00:00,767,1,2011-01
126,293,3,1296536400,2011-02-01 05:00:00,125,292,2011-02
44,1087,1,1296536400,2011-02-01 05:00:00,43,1086,2011-02
74,1087,1,1296536400,2011-02-01 05:00:00,73,1086,2011-02
1087,44,1,1296536400,2011-02-01 05:00:00,1086,43,2011-02
1087,74,1,1296536400,2011-02-01 05:00:00,1086,73,2011-02
23,710,2,1296536400,2011-02-01 05:00:00,22,709,2011-02
2,1209,2,1296622800,2011-02-02 05:00:00,1,1208,2011-02
2,74,6,1296622800,2011-02-02 05:00:00,1,73,2011-02
2,54,8,1296622800,2011-02-02 05:00:00,1,53,2011-02
1209,2,2,1296622800,2011-02-02 05:00:00,1208,1,2011-02
293,74,1,1296709200,2011-02-03 05:00:00,292,73,2011-02
293,389,1,1296709200,2011-02-03 05:00:00,292,388,2011-02
4,1909,1,1296709200,2011-02-03 05:00:00,3,1908,2011-02
293,113,3,1296709200,2011-02-03 05:00:00,292,112,2011-02
293,402,1,1296709200,2011-02-03 05:00:00,292,401,2011-02
293,91,3,1296709200,2011-02-03 05:00:00,292,90,2011-02
293,7400,3,1296709200,2011-02-03 05:00:00,292,3578,2011-02
293,126,3,1296709200,2011-02-03 05:00:00,292,125,2011-02
293,439,3,1296709200,2011-02-03 05:00:00,292,438,2011-02
293,2,3,1296709200,2011-02-03 05:00:00,292,1,2011-02
1909,4,1,1296709200,2011-02-03 05:00:00,1908,3,2011-02
45,40,1,1296795600,2011-02-04 05:00:00,44,39,2011-02
989,40,1,1296795600,2011-02-04 05:00:00,988,39,2011-02
31,379,1,1296795600,2011-02-04 05:00:00,30,378,2011-02
40,45,1,1296795600,2011-02-04 05:00:00,39,44,2011-02
131,145,2,1296882000,2011-02-05 05:00:00,130,144,2011-02
131,561,2,1296882000,2011-02-05 05:00:00,130,560,2011-02
145,131,2,1296882000,2011-02-05 05:00:00,144,130,2011-02
561,131,2,1296882000,2011-02-05 05:00:00,560,130,2011-02
131,74,2,1296882000,2011-02-05 05:00:00,130,73,2011-02
54,148,2,1297054800,2011-02-07 05:00:00,53,147,2011-02
512,121,2,1297054800,2011-02-07 05:00:00,511,120,2011-02
121,512,2,1297054800,2011-02-07 05:00:00,120,511,2011-02
148,54,2,1297054800,2011-02-07 05:00:00,147,53,2011-02
439,148,1,1297141200,2011-02-08 05:00:00,438,147,2011-02
148,439,1,1297141200,2011-02-08 05:00:00,147,438,2011-02
249,402,4,1297141200,2011-02-08 05:00:00,248,401,2011-02
379,31,1,1297141200,2011-02-08 05:00:00,378,30,2011-02
379,40,1,1297141200,2011-02-08 05:00:00,378,39,2011-02
148,270,1,1297227600,2011-02-09 05:00:00,147,269,2011-02
446,2,1,1297227600,2011-02-09 05:00:00,445,1,2011-02
768,148,1,1297227600,2011-02-09 05:00:00,767,147,2011-02
270,148,1,1297227600,2011-02-09 05:00:00,269,147,2011-02
