source,target,rating,timestamp,datetime,source_idx,target_idx,month
6,2,4,1289241911.72836,2010-11-08 18:45:11.728359938,5,1,2010-11
6,5,2,1289241941.53378,2010-11-08 18:45:41.533780098,5,4,2010-11
1,15,1,1289243140.39049,2010-11-08 19:05:40.390490055,0,11,2010-11
4,3,7,1289245277.36975,2010-11-08 19:41:17.369750023,3,2,2010-11
13,16,8,1289254254.44746,2010-11-08 22:10:54.447459936,10,12,2010-11
13,10,8,1289254300.79514,2010-11-08 22:11:40.795140028,10,9,2010-11
7,5,1,1289362700.47913,2010-11-10 04:18:20.479130030,6,4,2010-11
2,21,5,1289370556.80938,2010-11-10 06:29:16.809380054,1,16,2010-11
2,20,5,1289370622.21473,2010-11-10 06:30:22.214730024,1,15,2010-11
21,2,5,1289380981.52787,2010-11-10 09:23:01.527869940,16,1,2010-11
21,1,8,1289441411.46365,2010-11-11 02:10:11.463649988,16,0,2010-11
21,10,8,1289441438.4426,2010-11-11 02:10:38.442600012,16,9,2010-11
21,8,9,1289441450.59006,2010-11-11 02:10:50.590059996,16,7,2010-11
21,3,7,1289441525.73831,2010-11-11 02:12:05.738310099,16,2,2010-11
17,3,5,1289442313.03711,2010-11-11 02:25:13.037110090,13,2,2010-11
17,23,1,1289489668.48486,2010-11-11 15:34:28.484859943,13,17,2010-11
10,1,8,1289555656.32898,2010-11-12 09:54:16.328979969,9,0,2010-11
10,6,7,1289555731.22217,2010-11-12 09:55:31.222170115,9,5,2010-11
10,21,8,1289555745.64663,2010-11-12 09:55:45.646630049,9,16,2010-11
10,8,1,1289555767.7095,2010-11-12 09:56:07.709500074,9,7,2010-11
10,25,10,1289555841.66508,2010-11-12 09:57:21.665080070,9,18,2010-11
10,2,7,1289555871.04233,2010-11-12 09:57:51.042330027,9,1,2010-11
10,3,7,1289555875.70958,2010-11-12 09:57:55.709579945,9,2,2010-11
4,26,1,1289641693.99029,2010-11-13 09:48:13.990289927,3,19,2010-11
26,4,1,1289641703.57785,2010-11-13 09:48:23.577850103,19,3,2010-11
5,1,3,1289660298.87048,2010-11-13 14:58:18.870480061,4,0,2010-11
5,6,3,1289660319.00982,2010-11-13 14:58:39.009819984,4,5,2010-11
5,7,1,1289660347.43795,2010-11-13 14:59:07.437949896,4,6,2010-11
1,5,4,1289710643.19963,2010-11-14 04:57:23.199630022,0,4,2010-11
6,4,2,1289770700.4293,2010-11-14 21:38:20.429300070,5,3,2010-11
4,6,5,1289770756.50297,2010-11-14 21:39:16.502969980,3,5,2010-11
2,4,5,1289771303.53929,2010-11-14 21:48:23.539289951,1,3,2010-11
17,28,1,1289836081.52099,2010-11-15 15:48:01.520989895,13,20,2010-11
17,13,2,1289873367.89538,2010-11-16 02:09:27.895380020,13,10,2010-11
13,17,2,1289873611.94452,2010-11-16 02:13:31.944519997,10,13,2010-11
13,29,2,1290088212.27332,2010-11-18 13:50:12.273319960,10,21,2010-11
29,13,2,1290090118.30882,2010-11-18 14:21:58.308820009,21,10,2010-11
17,20,2,1290108486.68868,2010-11-18 19:28:06.688679934,13,15,2010-11
4,31,1,1290197549.13082,2010-11-19 20:12:29.130820036,3,22,2010-11
31,4,2,1290197554.48422,2010-11-19 20:12:34.484220028,22,3,2010-11
32,6,1,1290300441.66925,2010-11-21 00:47:21.669250011,23,5,2010-11
13,1,8,1290520563.53596,2010-11-23 13:56:03.535959959,10,0,2010-11
7,34,1,1290644457.56157,2010-11-25 00:20:57.561569929,6,25,2010-11
34,7,1,1290644477.40213,2010-11-25 00:21:17.402129889,25,6,2010-11
32,1,1,1290666928.42163,2010-11-25 06:35:28.421629906,23,0,2010-11
1,32,1,1290666953.43175,2010-11-25 06:35:53.431750059,0,23,2010-11
1,34,1,1290750434.01249,2010-11-26 05:47:14.012490034,0,25,2010-11
34,1,1,1290752776.47886,2010-11-26 06:26:16.478859901,25,0,2010-11
34,13,1,1290758643.30207,2010-11-26 08:04:03.302069902,25,10,2010-11
13,34,1,1290761556.7369,2010-11-26 08:52:36.736900091,10,25,2010-11
6,7,5,1290826367.17211,2010-11-27 02:52:47.172110081,5,6,2010-11
7,6,3,1290826591.42034,2010-11-27 02:56:31.420340061,6,5,2010-11
1,17,9,1290969236.78019,2010-11-28 18:33:56.780189991,0,13,2010-11
1,31,2,1291052764.71454,2010-11-29 17:46:04.714540005,0,22,2010-11
31,1,3,1291055972.91439,2010-11-29 18:39:32.914390087,22,0,2010-11
35,6,2,1291056174.72596,2010-11-29 18:42:54.725960016,26,5,2010-11
1,13,3,1291090930.69481,2010-11-30 04:22:10.694809914,0,10,2010-11
