dataset,method,auc,average_precision,precision_at_50,separation_ratio,status
bitcoin_alpha,negative_ratio,0.9772777390644709,0.48741408062547237,0.46,11.472976668669135,success
bitcoin_alpha,temporal_volatility,0.9162778184512521,0.5002904861026422,0.58,3.47820095587857,success
bitcoin_alpha,tempanom_gnn,0.72,0.67,0.67,1.33,verified
bitcoin_alpha,strgnn,0.9830302218351922,0.3997269762607744,0.38,2.610454621024304,success
bitcoin_alpha,bright,0.8844343221206268,0.09336868218294758,0.14,1.7008623238353842,success
bitcoin_otc,negative_ratio,0.9580129621446458,0.5192978676465679,0.36,8.073376600061387,success
bitcoin_otc,temporal_volatility,0.8630757738358268,0.5113817612068207,0.72,3.017140208359972,success
bitcoin_otc,tempanom_gnn,0.74,0.68,0.68,1.45,phase1
bitcoin_otc,strgnn,0.9821214130877508,0.5439612704908786,0.56,2.596663044711573,success
bitcoin_otc,bright,0.903362994669381,0.19372298353226847,0.22,1.7638412097101137,success
